id,requestType,productName,componentName,brand,pendingWith,status
027707bd-c50b-480e-9145-1971bc165ca3,Never,American Health Packaging,Flipopia,Ziprasidone Hydrochloride,#9027c6,Fuscia
5056646e-8ba7-4245-81c5-f157d524816f,Never,"UCB, Inc.",Fivebridge,Neupro,#43ef84,Khaki
d53dad82-6474-47fc-8575-0ccd6cbbf4b4,Once,DIRECT RX,Edgeblab,TOPIRAMATE,#ef4500,Aquamarine
fa75a697-a280-4c2f-a0a7-1d4072a9ed8b,Daily,Ventura Corporation LTD,Voolia,ESIKA HYDRACOLOR 2 IN 1 HIGHLY MOISTURIZING AND COLORING SPF 25,#bbf488,Crimson
427a0ce5-5de1-43ab-a86b-9033437c0589,Once,Precision Dose Inc.,Flipstorm,Valproic Acid,#1b4e85,Violet
d1b90eb4-2e5f-421d-9252-d4e4f5b60bd2,Seldom,Greenbrier International,Voomm,Daily Moisturizing - Oatmeal,#23358c,Green
7e78d255-0789-4cbf-a9c2-afdc29925ce9,Often,Sun Pharma Global FZE,Yombu,Oxaliplatin,#4579b4,Blue
1b02b9d0-ec1a-4572-a882-ff2d7a9a3d6b,Never,Ren Ltd.,Zooveo,REN Satin Perfection BB Sunscreen Broad Spectrum SPF 15 Light-Medium,#42016b,Indigo
59223ec3-3924-48d8-9feb-746f0b4259f1,Often,Colgate-Palmolive Canada,Dabjam,Colgate Triple Action Original Mint Fluoride,#638e4e,Indigo
b0f9fece-280f-4260-bb3d-fc2b387e034b,Seldom,BJWC,Cogidoo,berkley and jensen nicotine,#4d88e2,Puce
f3ed1bb1-8734-4b53-96ee-354a8d26c513,Never,Major Pharmaceuticals,Dabvine,Major Clotrimazole,#6519d7,Mauv
d54f68cb-2166-43cc-ad95-89bb12fc77fd,Seldom,"SJ Creations, Inc.",Rhycero,Citrus Burst Antibacterial Hand Wash,#5ca0e6,Aquamarine
6efd102f-a26f-4681-8cae-6259827983ed,Seldom,"Janssen Pharmaceuticals, Inc.",Leexo,Ortho Novum,#b6b190,Yellow
11ceefff-4333-4e8e-a345-79a1fe47d41a,Monthly,REMEDYREPACK INC.,Ntag,CLONIDINE HYDROCHLORIDE,#1c659e,Violet
7512cdb6-d712-4f65-8209-a33fdfb05921,Once,Gericare Pharmaceuticals,Kazio,Omeprazole,#5e2b80,Puce
808b10a9-dc65-403a-8aaf-98f6f4d0bf1c,Monthly,Reckitt Benckiser LLC,Flipbug,Lysol,#c49eae,Aquamarine
66433c3b-1abf-4248-86a2-b116cc8a22fe,Often,Genuine First Aid LLC,Thoughtstorm,GFA 42 Essential First Aid Items,#8a2f14,Red
032502a5-4bc9-4b96-bedd-c8f85356b330,Yearly,Parfums Christian Dior,Meetz,Rouge Dior 470 Pearly Pink Serum,#e403f2,Turquoise
7cafa4e4-69f6-4a69-a26c-f188a853a0d5,Once,American Health Packaging,Feedbug,risperidone,#6d2696,Yellow
1a129b01-3567-4661-ac3e-bd5a1fb4cf72,Daily,HOMEOLAB USA INC.,Oyondu,INFLUENZINUM,#6f5ee6,Crimson
711f365c-70ca-40ea-afdc-895c223a6720,Weekly,Mckesson,Fliptune,HealthMart Mucus Relief FM,#a45f2d,Khaki
c92f1446-2b78-4212-a51c-abe7f62c6066,Monthly,Meijer Distribution Inc,Rhyzio,milk of magnesia,#fb73cc,Khaki
b55abe13-4b01-4b8d-a924-a61e43e027a4,Daily,Indiana Botanic Gardens,Reallinks,Homeopathic Cold and Flu Formula,#38566d,Violet
13e30165-5acf-4ec2-8a9d-71b3130ecf14,Yearly,RITE AID CORPORATION,Skimia,Rite Aid Sport SunscreenSPF 50,#733ffc,Mauv
b2403560-cb8a-46f3-bba3-f3bd46dbdd76,Often,State of Florida DOH Central Pharmacy,Devpulse,Pentoxifylline,#3d90bd,Green
0e8ed93d-27c2-4877-83a1-2bbbf6f63afd,Often,GlaxoSmithKline Consumer Healtcare LP,Brainbox,PANADOL,#e751ee,Puce
a34b0b00-63c9-428b-be38-245bee0f8897,Monthly,State of Florida DOH Central Pharmacy,Tavu,Mirtazapine,#6f3a79,Khaki
20d80e9b-8cc2-4475-a603-32982bfbfad0,Seldom,"UCB, Inc.",Skivee,Theo-24,#7cf2aa,Puce
661c0fe8-aef4-462c-b0d5-fa9f7aa5837f,Never,Medline Industries,Geba,Naproxen Sodium,#68d1b7,Aquamarine
8462fdf7-fbe8-4c63-885f-b19285403a86,Never,Dolgencorp Inc,Rhynyx,dg health heartburn prevention,#e2d52e,Pink
e8535602-5716-46f1-985f-90c741b4a274,Once,Heritage Pharmaceuticals Inc.,Mynte,Glipizide and Metformin HCl,#4100df,Pink
0f4a6778-1369-490b-800b-6840f9cf9b6f,Monthly,Cardinal Health,Zoovu,Ketorolac Tromethamine,#0dc8dd,Green
7d4d189c-56f7-4466-be50-a53487e78245,Daily,"Dolgencorp, Inc. (DOLLAR GENERAL & REXALL)",Innojam,Motion Sickness Relief,#3d586e,Indigo
c53417c4-2535-43e6-b317-724ba7b8d281,Daily,"Newton Laboratories, Inc.",Leexo,Bug Bites - Itch Stopper,#c2a2c3,Red
9a3b2ca5-bd98-44e4-8fda-0c6aae9c72af,Monthly,"Unichem Pharmaceuticals (USA), Inc.",Cogilith,cetirizine hydrochloride,#e9c65d,Fuscia
a63af666-8ad1-45c6-b52e-653ad76bd3dd,Yearly,McKesson Medical-Surgical Inc.,Yakidoo,THERA Dimethicone Body Shield,#267142,Mauv
e95e3c4a-c6a0-4818-962d-bca70b04f23e,Weekly,"Elizabeth Arden, Inc",Rooxo,VISIBLE DIFFERENCE MULTI TARGETED BB CREAM BROAD SPECTRUM SUNSCREEN SPF 30 SHADE 1,#e7c249,Red
b2f6d611-3506-4eb9-b8f0-36a3d17237ee,Never,Aurobindo Pharma Limited,Skipstorm,Minocycline Hydrochloride,#b9e0c7,Fuscia
5b65697d-13cf-43fb-b9aa-eee9a102d6dc,Once,ProStat First Aid,Zoonder,Triple Antibiotic,#017e4d,Yellow
